"CovertedTime","Time","NR_Perspiration","Perspiration","HR_z","BR_z","Session"
2018-06-25 10:44:21,126,"0.005453967203293","0.00526426257142857",98,13,"RestingBaseline"
2018-06-25 10:44:22,127,"0.00545786735551229","0.005078066875",98,13,"RestingBaseline"
2018-06-25 10:44:23,128,"0.00546176151414326","0.00541410757142857",96,13,"RestingBaseline"
2018-06-25 10:44:24,129,"0.00546563165987762","0.004725091375",97,13,"RestingBaseline"
2018-06-25 10:44:25,130,"0.00546946046016663","0.00535518142857143",96,13,"RestingBaseline"
2018-06-25 10:44:26,131,"0.00547322590527338","0.00516223125",96,13,"RestingBaseline"
2018-06-25 10:44:27,132,"0.00547691126363026","0.00520780757142857",96,14,"RestingBaseline"
2018-06-25 10:44:28,133,"0.00548049299731142","0.00587668625",95,14,"RestingBaseline"
2018-06-25 10:44:29,134,"0.00548395770564476","0.00567939571428571",94,15,"RestingBaseline"
2018-06-25 10:44:30,135,"0.00548728326613196","0.005538362",94,15,"RestingBaseline"
2018-06-25 10:44:31,136,"0.00549046203741396","0.007841153",96,15,"RestingBaseline"
2018-06-25 10:44:32,137,"0.00549347612381651","0.008559311",99,15,"RestingBaseline"
2018-06-25 10:44:33,138,"0.00549632519779782","0.00774066",101,16,"RestingBaseline"
2018-06-25 10:44:34,139,"0.00549899765205279","0.006388320375",105,16,"RestingBaseline"
2018-06-25 10:44:35,140,"0.00550150076104506","0.00619668542857143",108,17,"RestingBaseline"
2018-06-25 10:44:36,141,"0.00550383007278346","0.006094895125",110,17,"RestingBaseline"
2018-06-25 10:44:37,142,"0.00550599940703519","0.00453446942857143",112,17,"RestingBaseline"
2018-06-25 10:44:38,143,"0.00550801101285613","0.005864497625",113,17,"RestingBaseline"
2018-06-25 10:44:39,144,"0.00550988313250097","0.00487936485714286",113,18,"RestingBaseline"
2018-06-25 10:44:40,145,"0.00551162317489751","0.006468437625",113,18,"RestingBaseline"
2018-06-25 10:44:41,146,"0.0055133548223052","0.005165691",111,18,"RestingBaseline"
